"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_Batt"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Batt_Min","PTemp"
"TS","RN","name","decdegrees","decdegrees","m","Volt","Deg c"
"","","Smp","Smp","Smp","Smp","Min","Smp"
"2022-10-13 11:00:00",0,"Site 2",39.10245,-96.59987,335,12.26,23.82
"2022-10-13 12:00:00",1,"Site 2",39.10245,-96.59987,335,13.58,25.76
"2022-10-13 13:00:00",2,"Site 2",39.10245,-96.59987,335,13.55,26.4
"2022-10-13 14:00:00",3,"Site 2",39.10245,-96.59987,335,13.49,26.97
"2022-10-13 15:00:00",4,"Site 2",39.10245,-96.59987,335,13.55,27.31
"2022-10-13 16:00:00",5,"Site 2",39.10245,-96.59987,335,13.52,27.43
"2022-10-13 17:00:00",6,"Site 2",39.10245,-96.59987,335,12.93,24.65
"2022-10-13 18:00:00",7,"Site 2",39.10245,-96.59987,335,12.22,23.18
"2022-10-13 19:00:00",8,"Site 2",39.10245,-96.59987,335,11.67,17.92
"2022-10-13 20:00:00",9,"Site 2",39.10245,-96.59987,335,11.62,11.95
"2022-10-13 21:00:00",10,"Site 2",39.10245,-96.59987,335,11.59,8.55
"2022-10-13 22:00:00",11,"Site 2",39.10245,-96.59987,335,11.56,6.363
"2022-10-13 23:00:00",12,"Site 2",39.10245,-96.59987,335,11.53,5.082
"2022-10-14 00:00:00",13,"Site 2",39.10245,-96.59987,335,11.5,4.14
"2022-10-14 01:00:00",14,"Site 2",39.10245,-96.59987,335,11.5,3.32
"2022-10-14 02:00:00",15,"Site 2",39.10245,-96.59987,335,11.47,2.63
"2022-10-14 03:00:00",16,"Site 2",39.10245,-96.59987,335,11.46,2.629
"2022-10-14 04:00:00",17,"Site 2",39.10245,-96.59987,335,11.45,2.717
"2022-10-14 05:00:00",18,"Site 2",39.10245,-96.59987,335,11.44,2.637
"2022-10-14 06:00:00",19,"Site 2",39.10245,-96.59987,335,11.43,2.76
"2022-10-14 07:00:00",20,"Site 2",39.10245,-96.59987,335,11.41,2.445
"2022-10-14 08:00:00",21,"Site 2",39.10245,-96.59987,335,11.41,6.137
"2022-10-14 09:00:00",22,"Site 2",39.10245,-96.59987,335,11.45,9.34
"2022-10-14 10:00:00",23,"Site 2",39.10245,-96.59987,335,12.02,18.06
"2022-10-14 11:00:00",24,"Site 2",39.10245,-96.59987,335,12.38,24.05
"2022-10-14 12:00:00",25,"Site 2",39.10245,-96.59987,335,12.76,28.08
"2022-10-14 13:00:00",26,"Site 2",39.10245,-96.59987,335,12.84,27.35
"2022-10-14 14:00:00",27,"Site 2",39.10245,-96.59987,335,12.56,31.06
"2022-10-14 15:00:00",28,"Site 2",39.10245,-96.59987,335,12.34,29.89
"2022-10-14 16:00:00",29,"Site 2",39.10245,-96.59987,335,12.07,27.29
"2022-10-14 17:00:00",30,"Site 2",39.10245,-96.59987,335,12.1,28.62
"2022-10-14 18:00:00",31,"Site 2",39.10245,-96.59987,335,11.99,26.71
"2022-10-14 19:00:00",32,"Site 2",39.10245,-96.59987,335,11.9,23.88
"2022-10-14 20:00:00",33,"Site 2",39.10245,-96.59987,335,11.88,21.71
"2022-10-14 21:00:00",34,"Site 2",39.10245,-96.59987,335,11.85,19.04
"2022-10-14 22:00:00",35,"Site 2",39.10245,-96.59987,335,11.83,16.39
"2022-10-14 23:00:00",36,"Site 2",39.10245,-96.59987,335,11.81,13.89
"2022-10-15 00:00:00",37,"Site 2",39.10245,-96.59987,335,11.8,11.42
"2022-10-15 01:00:00",38,"Site 2",39.10245,-96.59987,335,11.78,10.27
"2022-10-15 02:00:00",39,"Site 2",39.10245,-96.59987,335,11.77,8.55
"2022-10-15 03:00:00",40,"Site 2",39.10245,-96.59987,335,11.75,6.268
"2022-10-15 04:00:00",41,"Site 2",39.10245,-96.59987,335,11.74,4.775
"2022-10-15 05:00:00",42,"Site 2",39.10245,-96.59987,335,11.73,3.667
"2022-10-15 06:00:00",43,"Site 2",39.10245,-96.59987,335,11.72,3.304
"2022-10-15 07:00:00",44,"Site 2",39.10245,-96.59987,335,11.72,3.007
"2022-10-15 08:00:00",45,"Site 2",39.10245,-96.59987,335,11.7,2.644
"2022-10-15 09:00:00",46,"Site 2",39.10245,-96.59987,335,11.72,5.421
"2022-10-15 10:00:00",47,"Site 2",39.10245,-96.59987,335,12.39,16.06
"2022-10-15 11:00:00",48,"Site 2",39.10245,-96.59987,335,12.72,23.28
"2022-10-15 12:00:00",49,"Site 2",39.10245,-96.59987,335,12.79,24.93
"2022-10-15 13:00:00",50,"Site 2",39.10245,-96.59987,335,12.73,26.9
"2022-10-15 14:00:00",51,"Site 2",39.10245,-96.59987,335,12.89,28.06
"2022-10-15 15:00:00",52,"Site 2",39.10245,-96.59987,335,12.53,26.07
"2022-10-15 16:00:00",53,"Site 2",39.10245,-96.59987,335,12.46,26.11
"2022-10-15 17:00:00",54,"Site 2",39.10245,-96.59987,335,12.47,27.26
"2022-10-15 18:00:00",55,"Site 2",39.10245,-96.59987,335,12.26,24.33
"2022-10-15 19:00:00",56,"Site 2",39.10245,-96.59987,335,12.14,19.22
"2022-10-15 20:00:00",57,"Site 2",39.10245,-96.59987,335,12.11,15.59
"2022-10-15 21:00:00",58,"Site 2",39.10245,-96.59987,335,12.09,13.65
"2022-10-15 22:00:00",59,"Site 2",39.10245,-96.59987,335,12.08,12.45
"2022-10-15 23:00:00",60,"Site 2",39.10245,-96.59987,335,12.06,10.71
"2022-10-16 00:00:00",61,"Site 2",39.10245,-96.59987,335,12.04,9.47
"2022-10-16 01:00:00",62,"Site 2",39.10245,-96.59987,335,12.02,8.38
"2022-10-16 02:00:00",63,"Site 2",39.10245,-96.59987,335,12.02,7.822
"2022-10-16 03:00:00",64,"Site 2",39.10245,-96.59987,335,12.01,7.237
"2022-10-16 04:00:00",65,"Site 2",39.10245,-96.59987,335,12,6.64
"2022-10-16 05:00:00",66,"Site 2",39.10245,-96.59987,335,11.99,5.856
"2022-10-16 06:00:00",67,"Site 2",39.10245,-96.59987,335,11.98,5.193
"2022-10-16 07:00:00",68,"Site 2",39.10245,-96.59987,335,11.96,4.442
"2022-10-16 08:00:00",69,"Site 2",39.10245,-96.59987,335,11.96,4.403
"2022-10-16 09:00:00",70,"Site 2",39.10245,-96.59987,335,12,6.584
"2022-10-16 10:00:00",71,"Site 2",39.10245,-96.59987,335,12.31,12.08
"2022-10-16 11:00:00",72,"Site 2",39.10245,-96.59987,335,12.68,18.18
"2022-10-16 12:00:00",73,"Site 2",39.10245,-96.59987,335,12.68,20.22
"2022-10-16 13:00:00",74,"Site 2",39.10245,-96.59987,335,13.47,27.45
"2022-10-16 14:00:00",75,"Site 2",39.10245,-96.59987,335,13.04,25.38
"2022-10-16 15:00:00",76,"Site 2",39.10245,-96.59987,335,12.98,24.04
"2022-10-16 16:00:00",77,"Site 2",39.10245,-96.59987,335,13.29,23.27
"2022-10-16 17:00:00",78,"Site 2",39.10245,-96.59987,335,13.06,23.05
"2022-10-16 18:00:00",79,"Site 2",39.10245,-96.59987,335,12.94,20.81
"2022-10-16 19:00:00",80,"Site 2",39.10245,-96.59987,335,12.48,16.43
"2022-10-16 20:00:00",81,"Site 2",39.10245,-96.59987,335,12.44,14.14
"2022-10-16 21:00:00",82,"Site 2",39.10245,-96.59987,335,12.42,11.94
"2022-10-16 22:00:00",83,"Site 2",39.10245,-96.59987,335,12.4,11.22
"2022-10-16 23:00:00",84,"Site 2",39.10245,-96.59987,335,12.38,9.32
"2022-10-17 00:00:00",85,"Site 2",39.10245,-96.59987,335,12.36,7.402
