"TOA5","1","CR300","1438","CR300.Std.07.00","CPU:Site 1 (Field).CR300","25977","ThetaProbe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","BattV","ThetaProbe_5_VWC_Avg","ThetaProbe_10_VWC_Avg","ThetaProbe_20_VWC_Avg","ThetaProbe_50_VWC_Avg","ThetaProbe_5_Volt_dif_Avg","ThetaProbe_10_Volt_dif_Avg","ThetaProbe_20_Volt_dif_Avg","ThetaProbe_50_Volt_dif_Avg"
"TS","RN","name","decdegrees","decdegrees","m","Volts","cm^3 / cm^3","cm^3 / cm^3","cm^3 / cm^3","cm^3 / cm^3","Volt","Volt","Volt","Volt"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-02-17 14:00:00",0,"Site 1",30.55085,-96.41281,75,12.73,0.258,0.199,0.37,0.449,0.622,0.512,0.798,0.895
"2023-02-17 15:00:00",1,"Site 1",30.55085,-96.41281,75,12.77,0.258,0.198,0.37,0.446,0.621,0.51,0.798,0.892
"2023-02-17 16:00:00",2,"Site 1",30.55085,-96.41281,75,12.9,0.257,0.197,0.369,0.449,0.62,0.509,0.797,0.895
"2023-02-17 17:00:00",3,"Site 1",30.55085,-96.41281,75,12.94,0.257,0.197,0.371,0.449,0.62,0.508,0.799,0.895
"2023-02-17 18:00:00",4,"Site 1",30.55085,-96.41281,75,12.85,0.257,0.197,0.378,0.457,0.621,0.507,0.809,0.903
"2023-02-17 19:00:00",5,"Site 1",30.55085,-96.41281,75,12.49,0.258,0.196,0.366,0.442,0.621,0.507,0.792,0.888
"2023-02-17 20:00:00",6,"Site 1",30.55085,-96.41281,75,12.34,0.258,0.196,0.365,0.442,0.622,0.507,0.791,0.888
"2023-02-17 21:00:00",7,"Site 1",30.55085,-96.41281,75,12.26,0.258,0.196,0.365,0.442,0.622,0.507,0.791,0.888
"2023-02-17 22:00:00",8,"Site 1",30.55085,-96.41281,75,12.22,0.258,0.196,0.365,0.442,0.623,0.507,0.79,0.888
"2023-02-17 23:00:00",9,"Site 1",30.55085,-96.41281,75,12.19,0.258,0.196,0.365,0.442,0.623,0.507,0.79,0.888
"2023-02-18 00:00:00",10,"Site 1",30.55085,-96.41281,75,12.16,0.259,0.196,0.364,0.442,0.623,0.507,0.79,0.888
"2023-02-18 01:00:00",11,"Site 1",30.55085,-96.41281,75,12.14,0.259,0.196,0.364,0.442,0.623,0.507,0.789,0.888
"2023-02-18 02:00:00",12,"Site 1",30.55085,-96.41281,75,12.12,0.259,0.196,0.364,0.442,0.623,0.507,0.789,0.888
"2023-02-18 03:00:00",13,"Site 1",30.55085,-96.41281,75,12.09,0.259,0.196,0.363,0.442,0.623,0.507,0.788,0.888
"2023-02-18 04:00:00",14,"Site 1",30.55085,-96.41281,75,12.07,0.259,0.196,0.363,0.442,0.623,0.507,0.788,0.887
"2023-02-18 05:00:00",15,"Site 1",30.55085,-96.41281,75,12.04,0.259,0.196,0.363,0.442,0.623,0.507,0.788,0.887
"2023-02-18 06:00:00",16,"Site 1",30.55085,-96.41281,75,12.02,0.259,0.196,0.363,0.442,0.623,0.507,0.787,0.887
"2023-02-18 07:00:00",17,"Site 1",30.55085,-96.41281,75,11.99,0.259,0.196,0.362,0.442,0.623,0.507,0.787,0.887
"2023-02-18 08:00:00",18,"Site 1",30.55085,-96.41281,75,12.13,0.259,0.196,0.364,0.444,0.623,0.507,0.79,0.89
"2023-02-18 09:00:00",19,"Site 1",30.55085,-96.41281,75,12.56,0.258,0.197,0.366,0.448,0.622,0.507,0.793,0.894
"2023-02-18 10:00:00",20,"Site 1",30.55085,-96.41281,75,12.91,0.258,0.197,0.371,0.455,0.621,0.507,0.8,0.901
"2023-02-18 11:00:00",21,"Site 1",30.55085,-96.41281,75,13.02,0.257,0.196,0.373,0.458,0.62,0.507,0.803,0.903
"2023-02-18 12:00:00",22,"Site 1",30.55085,-96.41281,75,13.45,0.256,0.196,0.377,0.463,0.619,0.506,0.808,0.909
"2023-02-18 13:00:00",23,"Site 1",30.55085,-96.41281,75,13.65,0.256,0.196,0.376,0.468,0.618,0.505,0.806,0.913
"2023-02-18 14:00:00",24,"Site 1",30.55085,-96.41281,75,13.11,0.255,0.195,0.366,0.447,0.617,0.504,0.792,0.893
"2023-02-18 15:00:00",25,"Site 1",30.55085,-96.41281,75,13.03,0.254,0.194,0.368,0.448,0.616,0.503,0.794,0.894
"2023-02-18 16:00:00",26,"Site 1",30.55085,-96.41281,75,13.8,0.254,0.194,0.381,0.449,0.615,0.502,0.814,0.895
"2023-02-18 17:00:00",27,"Site 1",30.55085,-96.41281,75,13.52,0.254,0.193,0.373,0.455,0.615,0.501,0.802,0.901
"2023-02-18 18:00:00",28,"Site 1",30.55085,-96.41281,75,12.78,0.254,0.193,0.364,0.443,0.615,0.5,0.789,0.888
"2023-02-18 19:00:00",29,"Site 1",30.55085,-96.41281,75,12.7,0.254,0.193,0.363,0.441,0.615,0.499,0.788,0.887
"2023-02-18 20:00:00",30,"Site 1",30.55085,-96.41281,75,12.64,0.254,0.193,0.363,0.441,0.615,0.499,0.788,0.887
"2023-02-18 21:00:00",31,"Site 1",30.55085,-96.41281,75,12.59,0.254,0.193,0.363,0.441,0.615,0.499,0.787,0.887
"2023-02-18 22:00:00",32,"Site 1",30.55085,-96.41281,75,12.55,0.254,0.193,0.363,0.441,0.615,0.499,0.787,0.887
"2023-02-18 23:00:00",33,"Site 1",30.55085,-96.41281,75,12.51,0.254,0.192,0.362,0.441,0.615,0.499,0.787,0.887
"2023-02-19 00:00:00",34,"Site 1",30.55085,-96.41281,75,12.47,0.254,0.192,0.362,0.441,0.615,0.498,0.787,0.887
"2023-02-19 01:00:00",35,"Site 1",30.55085,-96.41281,75,12.44,0.254,0.192,0.362,0.441,0.615,0.498,0.787,0.887
"2023-02-19 02:00:00",36,"Site 1",30.55085,-96.41281,75,12.4,0.254,0.192,0.362,0.441,0.615,0.498,0.787,0.887
"2023-02-19 03:00:00",37,"Site 1",30.55085,-96.41281,75,12.37,0.254,0.192,0.362,0.441,0.615,0.498,0.786,0.887
"2023-02-19 04:00:00",38,"Site 1",30.55085,-96.41281,75,12.33,0.254,0.192,0.362,0.441,0.615,0.498,0.786,0.887
"2023-02-19 05:00:00",39,"Site 1",30.55085,-96.41281,75,12.29,0.254,0.192,0.362,0.441,0.615,0.498,0.786,0.887
"2023-02-19 06:00:00",40,"Site 1",30.55085,-96.41281,75,12.26,0.254,0.192,0.362,0.441,0.615,0.498,0.786,0.887
"2023-02-19 07:00:00",41,"Site 1",30.55085,-96.41281,75,12.22,0.254,0.192,0.361,0.441,0.615,0.498,0.786,0.887
"2023-02-19 08:00:00",42,"Site 1",30.55085,-96.41281,75,12.45,0.254,0.192,0.364,0.445,0.615,0.498,0.789,0.89
"2023-02-19 09:00:00",43,"Site 1",30.55085,-96.41281,75,12.79,0.254,0.192,0.368,0.45,0.614,0.498,0.795,0.896
"2023-02-19 10:00:00",44,"Site 1",30.55085,-96.41281,75,12.89,0.253,0.192,0.369,0.452,0.613,0.498,0.796,0.897
"2023-02-19 11:00:00",45,"Site 1",30.55085,-96.41281,75,13.02,0.252,0.192,0.371,0.454,0.612,0.497,0.799,0.9
"2023-02-19 12:00:00",46,"Site 1",30.55085,-96.41281,75,13.45,0.252,0.191,0.374,0.464,0.611,0.496,0.803,0.91
"2023-02-19 13:00:00",47,"Site 1",30.55085,-96.41281,75,13.13,0.251,0.191,0.376,0.45,0.61,0.495,0.807,0.895
"2023-02-19 14:00:00",48,"Site 1",30.55085,-96.41281,75,13.2,0.25,0.19,0.369,0.461,0.608,0.494,0.797,0.907
"2023-02-19 15:00:00",49,"Site 1",30.55085,-96.41281,75,12.98,0.25,0.19,0.369,0.453,0.607,0.493,0.797,0.898
"2023-02-19 16:00:00",50,"Site 1",30.55085,-96.41281,75,13.08,0.249,0.189,0.367,0.445,0.606,0.492,0.794,0.89
"2023-02-19 17:00:00",51,"Site 1",30.55085,-96.41281,75,13.33,0.248,0.189,0.37,0.453,0.605,0.491,0.797,0.899
"2023-02-19 18:00:00",52,"Site 1",30.55085,-96.41281,75,12.92,0.249,0.188,0.366,0.445,0.605,0.49,0.792,0.891
"2023-02-19 19:00:00",53,"Site 1",30.55085,-96.41281,75,12.73,0.249,0.188,0.363,0.441,0.606,0.489,0.788,0.887
"2023-02-19 20:00:00",54,"Site 1",30.55085,-96.41281,75,12.68,0.249,0.188,0.363,0.441,0.606,0.489,0.788,0.887
"2023-02-19 21:00:00",55,"Site 1",30.55085,-96.41281,75,12.64,0.249,0.188,0.363,0.441,0.606,0.489,0.788,0.887
"2023-02-19 22:00:00",56,"Site 1",30.55085,-96.41281,75,12.6,0.249,0.188,0.363,0.441,0.606,0.488,0.788,0.887
"2023-02-19 23:00:00",57,"Site 1",30.55085,-96.41281,75,12.55,0.249,0.187,0.363,0.441,0.606,0.488,0.788,0.887
"2023-02-20 00:00:00",58,"Site 1",30.55085,-96.41281,75,12.52,0.249,0.187,0.363,0.441,0.606,0.488,0.788,0.887
"2023-02-20 01:00:00",59,"Site 1",30.55085,-96.41281,75,12.48,0.249,0.187,0.363,0.441,0.606,0.488,0.788,0.887
"2023-02-20 02:00:00",60,"Site 1",30.55085,-96.41281,75,12.44,0.249,0.187,0.363,0.442,0.606,0.487,0.787,0.887
"2023-02-20 03:00:00",61,"Site 1",30.55085,-96.41281,75,12.41,0.249,0.187,0.363,0.442,0.605,0.487,0.787,0.887
"2023-02-20 04:00:00",62,"Site 1",30.55085,-96.41281,75,12.38,0.248,0.187,0.363,0.442,0.605,0.487,0.787,0.887
"2023-02-20 05:00:00",63,"Site 1",30.55085,-96.41281,75,12.34,0.248,0.187,0.363,0.442,0.605,0.487,0.787,0.887
"2023-02-20 06:00:00",64,"Site 1",30.55085,-96.41281,75,12.32,0.248,0.187,0.363,0.442,0.605,0.487,0.787,0.887
"2023-02-20 07:00:00",65,"Site 1",30.55085,-96.41281,75,12.29,0.248,0.187,0.363,0.442,0.605,0.487,0.787,0.887
"2023-02-20 08:00:00",66,"Site 1",30.55085,-96.41281,75,12.28,0.248,0.187,0.363,0.442,0.605,0.487,0.788,0.888
"2023-02-20 09:00:00",67,"Site 1",30.55085,-96.41281,75,12.45,0.248,0.187,0.366,0.446,0.605,0.487,0.792,0.892
"2023-02-20 10:00:00",68,"Site 1",30.55085,-96.41281,75,12.68,0.248,0.187,0.37,0.451,0.604,0.487,0.797,0.897
"2023-02-20 11:00:00",69,"Site 1",30.55085,-96.41281,75,12.77,0.247,0.187,0.37,0.452,0.603,0.487,0.798,0.898
"2023-02-20 12:00:00",70,"Site 1",30.55085,-96.41281,75,13.16,0.247,0.186,0.377,0.461,0.602,0.486,0.808,0.907
"2023-02-20 13:00:00",71,"Site 1",30.55085,-96.41281,75,12.99,0.246,0.186,0.38,0.454,0.6,0.484,0.812,0.9
"2023-02-20 14:00:00",72,"Site 1",30.55085,-96.41281,75,12.83,0.244,0.185,0.367,0.445,0.598,0.483,0.794,0.891
"2023-02-20 15:00:00",73,"Site 1",30.55085,-96.41281,75,12.89,0.243,0.184,0.367,0.447,0.596,0.481,0.794,0.893
"2023-02-20 16:00:00",74,"Site 1",30.55085,-96.41281,75,13,0.243,0.183,0.368,0.455,0.595,0.48,0.796,0.901
"2023-02-20 17:00:00",75,"Site 1",30.55085,-96.41281,75,13.25,0.242,0.183,0.37,0.448,0.595,0.478,0.798,0.894
"2023-02-20 18:00:00",76,"Site 1",30.55085,-96.41281,75,13.23,0.242,0.183,0.376,0.453,0.595,0.478,0.807,0.898
"2023-02-20 19:00:00",77,"Site 1",30.55085,-96.41281,75,12.77,0.242,0.182,0.365,0.442,0.595,0.477,0.79,0.888
"2023-02-20 20:00:00",78,"Site 1",30.55085,-96.41281,75,12.69,0.243,0.182,0.365,0.442,0.595,0.477,0.79,0.888
"2023-02-20 21:00:00",79,"Site 1",30.55085,-96.41281,75,12.64,0.243,0.182,0.365,0.442,0.595,0.476,0.79,0.888
"2023-02-20 22:00:00",80,"Site 1",30.55085,-96.41281,75,12.61,0.243,0.182,0.365,0.443,0.595,0.476,0.79,0.888
"2023-02-20 23:00:00",81,"Site 1",30.55085,-96.41281,75,12.57,0.242,0.182,0.364,0.443,0.595,0.476,0.79,0.888
"2023-02-21 00:00:00",82,"Site 1",30.55085,-96.41281,75,12.53,0.242,0.182,0.364,0.443,0.595,0.476,0.79,0.888
"2023-02-21 01:00:00",83,"Site 1",30.55085,-96.41281,75,12.49,0.242,0.182,0.364,0.443,0.595,0.475,0.79,0.889
"2023-02-21 02:00:00",84,"Site 1",30.55085,-96.41281,75,12.46,0.242,0.181,0.364,0.443,0.595,0.475,0.789,0.889
"2023-02-21 03:00:00",85,"Site 1",30.55085,-96.41281,75,12.42,0.242,0.181,0.364,0.443,0.595,0.475,0.789,0.889
"2023-02-21 04:00:00",86,"Site 1",30.55085,-96.41281,75,12.39,0.242,0.181,0.364,0.443,0.595,0.474,0.789,0.889
"2023-02-21 05:00:00",87,"Site 1",30.55085,-96.41281,75,12.35,0.242,0.181,0.364,0.443,0.595,0.474,0.789,0.889
"2023-02-21 06:00:00",88,"Site 1",30.55085,-96.41281,75,12.32,0.242,0.181,0.364,0.443,0.595,0.474,0.789,0.889
"2023-02-21 07:00:00",89,"Site 1",30.55085,-96.41281,75,12.29,0.242,0.181,0.363,0.443,0.594,0.474,0.788,0.889
"2023-02-21 08:00:00",90,"Site 1",30.55085,-96.41281,75,12.32,0.242,0.181,0.364,0.445,0.594,0.474,0.79,0.89
"2023-02-21 09:00:00",91,"Site 1",30.55085,-96.41281,75,12.54,0.242,0.181,0.367,0.449,0.594,0.473,0.794,0.895
"2023-02-21 10:00:00",92,"Site 1",30.55085,-96.41281,75,12.89,0.242,0.181,0.371,0.455,0.593,0.474,0.8,0.901
"2023-02-21 11:00:00",93,"Site 1",30.55085,-96.41281,75,13.01,0.241,0.181,0.372,0.456,0.593,0.473,0.8,0.902
"2023-02-21 12:00:00",94,"Site 1",30.55085,-96.41281,75,13.34,0.241,0.18,0.379,0.466,0.591,0.473,0.81,0.911
"2023-02-21 13:00:00",95,"Site 1",30.55085,-96.41281,75,13.01,0.24,0.18,0.373,0.467,0.589,0.471,0.802,0.912
"2023-02-21 14:00:00",96,"Site 1",30.55085,-96.41281,75,12.83,0.238,0.179,0.367,0.447,0.587,0.47,0.793,0.893
"2023-02-21 15:00:00",97,"Site 1",30.55085,-96.41281,75,12.82,0.237,0.178,0.367,0.448,0.585,0.468,0.794,0.894
"2023-02-21 16:00:00",98,"Site 1",30.55085,-96.41281,75,12.81,0.237,0.178,0.37,0.448,0.584,0.466,0.797,0.893
"2023-02-21 17:00:00",99,"Site 1",30.55085,-96.41281,75,13.24,0.236,0.177,0.37,0.449,0.583,0.465,0.798,0.895
"2023-02-21 18:00:00",100,"Site 1",30.55085,-96.41281,75,12.7,0.236,0.177,0.366,0.446,0.583,0.464,0.792,0.891
"2023-02-21 19:00:00",101,"Site 1",30.55085,-96.41281,75,12.65,0.236,0.176,0.364,0.444,0.583,0.464,0.79,0.89
"2023-02-21 20:00:00",102,"Site 1",30.55085,-96.41281,75,12.6,0.236,0.176,0.364,0.444,0.583,0.463,0.79,0.89
"2023-02-21 21:00:00",103,"Site 1",30.55085,-96.41281,75,12.55,0.236,0.176,0.364,0.444,0.583,0.463,0.79,0.89
"2023-02-21 22:00:00",104,"Site 1",30.55085,-96.41281,75,12.51,0.236,0.176,0.364,0.444,0.583,0.462,0.79,0.89
"2023-02-21 23:00:00",105,"Site 1",30.55085,-96.41281,75,12.47,0.236,0.175,0.364,0.444,0.582,0.462,0.789,0.89
"2023-02-22 00:00:00",106,"Site 1",30.55085,-96.41281,75,12.43,0.236,0.175,0.364,0.444,0.582,0.461,0.789,0.89
"2023-02-22 01:00:00",107,"Site 1",30.55085,-96.41281,75,12.4,0.235,0.175,0.364,0.444,0.582,0.461,0.789,0.89
"2023-02-22 02:00:00",108,"Site 1",30.55085,-96.41281,75,12.36,0.235,0.175,0.364,0.445,0.582,0.46,0.789,0.89
"2023-02-22 03:00:00",109,"Site 1",30.55085,-96.41281,75,12.33,0.235,0.175,0.364,0.445,0.582,0.46,0.789,0.89
"2023-02-22 04:00:00",110,"Site 1",30.55085,-96.41281,75,12.3,0.235,0.174,0.364,0.445,0.581,0.459,0.789,0.89
"2023-02-22 05:00:00",111,"Site 1",30.55085,-96.41281,75,12.27,0.235,0.174,0.363,0.445,0.581,0.459,0.789,0.89
"2023-02-22 06:00:00",112,"Site 1",30.55085,-96.41281,75,12.25,0.235,0.174,0.363,0.445,0.581,0.459,0.788,0.891
"2023-02-22 07:00:00",113,"Site 1",30.55085,-96.41281,75,12.22,0.235,0.174,0.363,0.445,0.581,0.458,0.788,0.891
"2023-02-22 08:00:00",114,"Site 1",30.55085,-96.41281,75,12.2,0.235,0.174,0.363,0.445,0.581,0.458,0.788,0.89
"2023-02-22 09:00:00",115,"Site 1",30.55085,-96.41281,75,12.34,0.235,0.173,0.365,0.447,0.58,0.457,0.79,0.893
"2023-02-22 10:00:00",116,"Site 1",30.55085,-96.41281,75,12.55,0.234,0.173,0.369,0.452,0.58,0.457,0.796,0.898
"2023-02-22 11:00:00",117,"Site 1",30.55085,-96.41281,75,12.87,0.234,0.173,0.374,0.461,0.579,0.457,0.804,0.907
"2023-02-22 12:00:00",118,"Site 1",30.55085,-96.41281,75,13.13,0.233,0.173,0.38,0.469,0.578,0.456,0.811,0.914
"2023-02-22 13:00:00",119,"Site 1",30.55085,-96.41281,75,12.78,0.232,0.172,0.379,0.459,0.575,0.454,0.81,0.905
"2023-02-22 14:00:00",120,"Site 1",30.55085,-96.41281,75,12.75,0.23,0.171,0.367,0.451,0.573,0.452,0.793,0.897
"2023-02-22 15:00:00",121,"Site 1",30.55085,-96.41281,75,12.86,0.229,0.17,0.375,0.453,0.57,0.45,0.805,0.899
"2023-02-22 16:00:00",122,"Site 1",30.55085,-96.41281,75,12.75,0.228,0.17,0.367,0.448,0.568,0.449,0.793,0.894
"2023-02-22 17:00:00",123,"Site 1",30.55085,-96.41281,75,12.77,0.227,0.169,0.367,0.447,0.567,0.447,0.793,0.893
"2023-02-22 18:00:00",124,"Site 1",30.55085,-96.41281,75,13.14,0.227,0.168,0.375,0.466,0.567,0.446,0.805,0.911
"2023-02-22 19:00:00",125,"Site 1",30.55085,-96.41281,75,12.68,0.227,0.168,0.364,0.445,0.567,0.445,0.789,0.891
"2023-02-22 20:00:00",126,"Site 1",30.55085,-96.41281,75,12.61,0.227,0.168,0.364,0.445,0.567,0.444,0.789,0.891
"2023-02-22 21:00:00",127,"Site 1",30.55085,-96.41281,75,12.56,0.227,0.168,0.364,0.446,0.567,0.444,0.789,0.891
"2023-02-22 22:00:00",128,"Site 1",30.55085,-96.41281,75,12.51,0.227,0.167,0.363,0.445,0.567,0.443,0.788,0.891
"2023-02-22 23:00:00",129,"Site 1",30.55085,-96.41281,75,12.47,0.227,0.167,0.363,0.445,0.567,0.443,0.788,0.891
"2023-02-23 00:00:00",130,"Site 1",30.55085,-96.41281,75,12.43,0.227,0.167,0.363,0.445,0.567,0.442,0.788,0.891
"2023-02-23 01:00:00",131,"Site 1",30.55085,-96.41281,75,12.4,0.227,0.167,0.363,0.446,0.567,0.442,0.788,0.891
"2023-02-23 02:00:00",132,"Site 1",30.55085,-96.41281,75,12.36,0.227,0.167,0.363,0.446,0.567,0.442,0.787,0.891
"2023-02-23 03:00:00",133,"Site 1",30.55085,-96.41281,75,12.33,0.227,0.166,0.362,0.445,0.567,0.441,0.787,0.891
"2023-02-23 04:00:00",134,"Site 1",30.55085,-96.41281,75,12.29,0.227,0.166,0.362,0.445,0.566,0.441,0.787,0.891
"2023-02-23 05:00:00",135,"Site 1",30.55085,-96.41281,75,12.27,0.227,0.166,0.362,0.446,0.566,0.441,0.787,0.891
"2023-02-23 06:00:00",136,"Site 1",30.55085,-96.41281,75,12.24,0.227,0.166,0.362,0.446,0.566,0.44,0.786,0.891
"2023-02-23 07:00:00",137,"Site 1",30.55085,-96.41281,75,12.21,0.227,0.166,0.362,0.446,0.566,0.44,0.786,0.892
"2023-02-23 08:00:00",138,"Site 1",30.55085,-96.41281,75,12.22,0.227,0.166,0.362,0.446,0.566,0.44,0.787,0.892
"2023-02-23 09:00:00",139,"Site 1",30.55085,-96.41281,75,12.5,0.226,0.166,0.367,0.453,0.565,0.44,0.793,0.899
"2023-02-23 10:00:00",140,"Site 1",30.55085,-96.41281,75,12.73,0.226,0.166,0.37,0.457,0.565,0.439,0.798,0.903
"2023-02-23 11:00:00",141,"Site 1",30.55085,-96.41281,75,12.87,0.226,0.165,0.371,0.46,0.564,0.439,0.8,0.906
"2023-02-23 12:00:00",142,"Site 1",30.55085,-96.41281,75,13.19,0.224,0.165,0.376,0.467,0.562,0.438,0.807,0.913
"2023-02-23 13:00:00",143,"Site 1",30.55085,-96.41281,75,13.14,0.223,0.164,0.368,0.456,0.559,0.436,0.796,0.902
"2023-02-23 14:00:00",144,"Site 1",30.55085,-96.41281,75,13.22,0.222,0.164,0.373,0.461,0.557,0.435,0.802,0.906
"2023-02-23 15:00:00",145,"Site 1",30.55085,-96.41281,75,13.27,0.221,0.163,0.368,0.459,0.556,0.433,0.796,0.904
"2023-02-23 16:00:00",146,"Site 1",30.55085,-96.41281,75,13.33,0.221,0.163,0.373,0.461,0.554,0.432,0.802,0.907
"2023-02-23 17:00:00",147,"Site 1",30.55085,-96.41281,75,13.03,0.22,0.162,0.366,0.451,0.554,0.431,0.792,0.897
"2023-02-23 18:00:00",148,"Site 1",30.55085,-96.41281,75,12.77,0.22,0.162,0.363,0.446,0.554,0.431,0.787,0.892
"2023-02-23 19:00:00",149,"Site 1",30.55085,-96.41281,75,12.71,0.22,0.162,0.362,0.446,0.554,0.43,0.787,0.892
"2023-02-23 20:00:00",150,"Site 1",30.55085,-96.41281,75,12.66,0.221,0.161,0.362,0.446,0.555,0.429,0.787,0.892
"2023-02-23 21:00:00",151,"Site 1",30.55085,-96.41281,75,12.61,0.221,0.161,0.362,0.446,0.556,0.429,0.786,0.892
"2023-02-23 22:00:00",152,"Site 1",30.55085,-96.41281,75,12.57,0.221,0.161,0.362,0.446,0.556,0.428,0.786,0.892
"2023-02-23 23:00:00",153,"Site 1",30.55085,-96.41281,75,12.53,0.221,0.161,0.361,0.446,0.555,0.428,0.785,0.892
"2023-02-24 00:00:00",154,"Site 1",30.55085,-96.41281,75,12.5,0.221,0.16,0.361,0.446,0.555,0.427,0.785,0.892
"2023-02-24 01:00:00",155,"Site 1",30.55085,-96.41281,75,12.46,0.221,0.16,0.361,0.446,0.555,0.427,0.784,0.892
"2023-02-24 02:00:00",156,"Site 1",30.55085,-96.41281,75,12.42,0.221,0.16,0.36,0.446,0.555,0.426,0.784,0.892
"2023-02-24 03:00:00",157,"Site 1",30.55085,-96.41281,75,12.39,0.221,0.16,0.36,0.446,0.554,0.426,0.783,0.892
"2023-02-24 04:00:00",158,"Site 1",30.55085,-96.41281,75,12.36,0.22,0.16,0.36,0.446,0.554,0.425,0.783,0.892
"2023-02-24 05:00:00",159,"Site 1",30.55085,-96.41281,75,12.33,0.22,0.16,0.359,0.446,0.554,0.425,0.783,0.892
"2023-02-24 06:00:00",160,"Site 1",30.55085,-96.41281,75,12.3,0.22,0.16,0.359,0.446,0.553,0.425,0.782,0.892
"2023-02-24 07:00:00",161,"Site 1",30.55085,-96.41281,75,12.27,0.219,0.159,0.359,0.446,0.552,0.424,0.782,0.892
"2023-02-24 08:00:00",162,"Site 1",30.55085,-96.41281,75,12.24,0.219,0.159,0.359,0.447,0.552,0.424,0.782,0.893
"2023-02-24 09:00:00",163,"Site 1",30.55085,-96.41281,75,12.36,0.219,0.159,0.361,0.449,0.551,0.424,0.785,0.895
"2023-02-24 10:00:00",164,"Site 1",30.55085,-96.41281,75,12.74,0.218,0.159,0.363,0.453,0.551,0.423,0.789,0.899
"2023-02-24 11:00:00",165,"Site 1",30.55085,-96.41281,75,13.07,0.218,0.159,0.368,0.46,0.549,0.423,0.795,0.906
"2023-02-24 12:00:00",166,"Site 1",30.55085,-96.41281,75,13.35,0.217,0.158,0.374,0.469,0.548,0.422,0.804,0.915
"2023-02-24 13:00:00",167,"Site 1",30.55085,-96.41281,75,13.41,0.216,0.158,0.371,0.468,0.546,0.421,0.799,0.913
"2023-02-24 14:00:00",168,"Site 1",30.55085,-96.41281,75,13.4,0.215,0.157,0.367,0.459,0.544,0.42,0.794,0.905
"2023-02-24 15:00:00",169,"Site 1",30.55085,-96.41281,75,13.7,0.215,0.157,0.37,0.461,0.543,0.419,0.798,0.907
"2023-02-24 16:00:00",170,"Site 1",30.55085,-96.41281,75,13.6,0.214,0.157,0.365,0.461,0.543,0.418,0.79,0.907
"2023-02-24 17:00:00",171,"Site 1",30.55085,-96.41281,75,12.98,0.214,0.156,0.361,0.45,0.542,0.417,0.786,0.896
"2023-02-24 18:00:00",172,"Site 1",30.55085,-96.41281,75,12.81,0.214,0.156,0.358,0.446,0.542,0.417,0.781,0.891
"2023-02-24 19:00:00",173,"Site 1",30.55085,-96.41281,75,12.75,0.214,0.156,0.358,0.445,0.542,0.416,0.781,0.891
"2023-02-24 20:00:00",174,"Site 1",30.55085,-96.41281,75,12.7,0.214,0.156,0.358,0.445,0.543,0.416,0.781,0.891
"2023-02-24 21:00:00",175,"Site 1",30.55085,-96.41281,75,12.66,0.214,0.156,0.358,0.445,0.543,0.415,0.78,0.891
"2023-02-24 22:00:00",176,"Site 1",30.55085,-96.41281,75,12.62,0.214,0.156,0.358,0.445,0.543,0.415,0.78,0.891
"2023-02-24 23:00:00",177,"Site 1",30.55085,-96.41281,75,12.58,0.214,0.155,0.357,0.445,0.543,0.415,0.78,0.891
"2023-02-25 00:00:00",178,"Site 1",30.55085,-96.41281,75,12.55,0.214,0.155,0.357,0.445,0.542,0.415,0.779,0.891
"2023-02-25 01:00:00",179,"Site 1",30.55085,-96.41281,75,12.51,0.214,0.155,0.357,0.445,0.542,0.414,0.779,0.891
"2023-02-25 02:00:00",180,"Site 1",30.55085,-96.41281,75,12.48,0.214,0.155,0.357,0.445,0.542,0.414,0.779,0.891
"2023-02-25 03:00:00",181,"Site 1",30.55085,-96.41281,75,12.44,0.214,0.155,0.357,0.445,0.542,0.414,0.779,0.891
"2023-02-25 04:00:00",182,"Site 1",30.55085,-96.41281,75,12.4,0.214,0.155,0.356,0.445,0.542,0.413,0.778,0.891
"2023-02-25 05:00:00",183,"Site 1",30.55085,-96.41281,75,12.36,0.214,0.155,0.356,0.445,0.542,0.413,0.778,0.891
"2023-02-25 06:00:00",184,"Site 1",30.55085,-96.41281,75,12.32,0.214,0.155,0.356,0.445,0.541,0.413,0.778,0.891
"2023-02-25 07:00:00",185,"Site 1",30.55085,-96.41281,75,12.28,0.214,0.155,0.356,0.445,0.541,0.413,0.777,0.891
"2023-02-25 08:00:00",186,"Site 1",30.55085,-96.41281,75,12.29,0.213,0.154,0.356,0.446,0.541,0.412,0.778,0.892
"2023-02-25 09:00:00",187,"Site 1",30.55085,-96.41281,75,12.57,0.213,0.154,0.359,0.45,0.541,0.412,0.782,0.896
"2023-02-25 10:00:00",188,"Site 1",30.55085,-96.41281,75,13.1,0.213,0.154,0.364,0.457,0.54,0.412,0.789,0.903
"2023-02-25 11:00:00",189,"Site 1",30.55085,-96.41281,75,13.38,0.212,0.154,0.368,0.464,0.538,0.411,0.795,0.909
"2023-02-25 12:00:00",190,"Site 1",30.55085,-96.41281,75,13.45,0.211,0.154,0.361,0.472,0.537,0.411,0.786,0.917
